118	1665346700722	1,173	6,862	7,274	noname
119	1665346700763	1,324	6,91	7,017	noname
120	1665346700803	1,348	6,929	6,632	noname
121	1665346700842	1,24	6,895	6,8	noname
122	1665346700883	1,482	6,914	7,065	noname
123	1665346700922	1,453	6,874	6,167	noname
124	1665346700962	1,729	6,907	5,986	noname
125	1665346701001	1,53	6,785	6,642	noname
126	1665346701041	1,834	6,622	7,072	noname
127	1665346701082	2,064	6,582	6,414	noname
128	1665346701122	1,712	6,208	6,115	noname
129	1665346701161	2,923	6,558	8,052	noname
130	1665346701202	2,914	6,34	6,907	noname
131	1665346701242	3,63	6,404	7,132	noname
132	1665346701283	3,338	5,947	7,578	noname
133	1665346701323	3,508	5,72	8,294	noname
134	1665346701363	3,654	5,717	7,372	noname
135	1665346701403	3,455	5,327	7,049	noname
136	1665346701442	3,251	5,138	7,417	noname
137	1665346701483	3,627	5,128	8,401	noname
138	1665346701523	3,733	5,066	7,848	noname
139	1665346701562	3,512	4,901	7,879	noname
140	1665346701602	3,768	4,863	7,635	noname
141	1665346701642	3,881	4,726	7,906	noname
142	1665346701683	3,713	4,678	7,657	noname
143	1665346701723	3,905	4,616	8,097	noname
144	1665346701762	3,826	4,484	8,116	noname
145	1665346701801	3,735	4,441	7,887	noname
146	1665346701842	3,869	4,31	7,86	noname
147	1665346701882	3,886	4,29	8,088	noname
148	1665346701922	3,512	4,108	8,248	noname
149	1665346701962	3,797	4,132	8,253	noname
150	1665346702004	3,587	3,977	8,432	noname
151	1665346702042	3,622	3,893	8,624	noname
152	1665346702082	3,682	3,972	8,212	noname
153	1665346702122	3,515	3,807	8,387	noname
154	1665346702162	3,745	3,886	8,382	noname
155	1665346702201	3,498	3,716	8,578	noname
156	1665346702241	3,505	3,716	8,511	noname
157	1665346702282	3,278	3,531	8,475	noname
158	1665346702322	3,089	3,412	8,337	noname
159	1665346702362	3,4	3,524	9,098	noname
160	1665346702402	3,148	3,292	8,803	noname
161	1665346702441	3,005	3,105	8,566	noname
162	1665346702482	2,914	3,055	8,926	noname
163	1665346702522	2,588	3,108	7,769	noname
164	1665346702562	2,861	2,988	10,048	noname
